data,season,team1,team2,score1,score2,result,spread,spreadOpen,overUnder,overUnderOpen,homeMoneyLine,awayMoneyLine
2019-09-14,2019,lsu,northwestern state,65,14,1,-51.5,,-51.5,,,
2019-09-14,2019,washington,hawai'i,52,20,1,-21.625,,-21.625,,,
2019-09-14,2019,syracuse,clemson,6,41,0,28.0,,28.0,,,
2019-09-14,2019,missouri,southeast missouri state,50,0,1,-34.0,,-34.0,,,
2019-09-14,2019,purdue,tcu,13,34,0,3.25,,3.25,,,
2019-09-14,2019,virginia,florida state,31,24,1,-7.0,,-7.0,,,
2019-09-15,2019,ucla,oklahoma,14,48,0,23.25,,23.25,,,
2019-09-15,2019,new mexico state,san diego state,10,31,0,16.5,,16.5,,,
2019-09-15,2019,nebraska,northern illinois,44,8,1,-13.75,,-13.75,,,
2019-09-15,2019,rice,texas,13,48,0,32.0,,32.0,,,
2019-09-15,2019,tulane,missouri state,58,6,1,-31.5,,-31.5,,,
2019-09-15,2019,southern utah,stephen f. austin,45,38,1
2019-09-15,2019,east tennessee state,vmi,24,31,0
2019-09-15,2019,sacramento state,northern colorado,50,0,1
2019-09-15,2019,uc davis,lehigh,41,13,1
2019-09-15,2019,boise state,portland state,45,10,1,-32.5,,-32.5,,,
2019-09-15,2019,arizona,texas tech,28,14,1,1.5,,1.5,,,
2019-09-15,2019,oregon,montana,35,3,1,-38.5,,-38.5,,,
2019-09-20,2019,tulane,houston,38,31,1,-4.125,,-4.125,,,
2019-09-21,2019,louisiana tech,florida international,43,31,1,-7.0,,-7.0,,,
2019-09-21,2019,boise state,air force,30,19,1,-7.375,,-7.375,,,
2019-09-21,2019,usc,utah,30,23,1,3.5,,3.5,,,
2019-09-21,2019,army,morgan state,52,21,1,-45.5,,-45.5,,,
2019-09-21,2019,alabama,southern mississippi,49,7,1,-37.25,,-37.25,,,
2019-09-21,2019,wisconsin,michigan,35,14,1,-3.25,,-3.25,,,
2019-09-21,2019,syracuse,western michigan,52,33,1,-3.625,,-3.625,,,
2019-09-21,2019,wake forest,elon,49,7,1,-29.5,,-29.5,,,
2019-09-21,2019,florida,tennessee,34,3,1,-12.875,,-12.875,,,
2019-09-21,2019,ole miss,california,20,28,0,-3.0,,-3.0,,,
2019-09-21,2019,indiana,connecticut,38,3,1,-27.25,,-27.25,,,
2019-09-21,2019,colgate,maine,21,35,0
2019-09-21,2019,northwestern,michigan state,10,31,0,7.5,,7.5,,,
2019-09-21,2019,vanderbilt,lsu,38,66,0,24.125,,24.125,,,
2019-09-21,2019,iowa state,louisiana monroe,72,20,1,-17.375,,-17.375,,,
2019-09-21,2019,rutgers,boston college,16,30,0,7.5,,7.5,,,
2019-09-21,2019,marist,cornell,7,21,0
2019-09-21,2019,indiana state,eastern illinois,16,6,1
2019-09-21,2019,long island university,sacred heart,10,34,0
2019-09-21,2019,dayton,duquesne,31,35,0
2019-09-21,2019,delaware,pennsylvania,28,27,1
2019-09-21,2019,yale,holy cross,23,10,1
2019-09-21,2019,st francis (pa),columbia,14,31,0
2019-09-21,2019,furman,mercer,45,10,1
2019-09-21,2019,presbyterian college,eastern kentucky,10,35,0
2019-09-21,2019,umass,coastal carolina,28,62,0,17.0,,17.0,,,
2019-09-21,2019,jacksonville,dartmouth,6,35,0
2019-09-21,2019,merrimack,mayville state,76,7,1
2019-09-21,2019,vmi,robert morris,21,31,0
2019-09-21,2019,delaware state,howard,9,24,0
